                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.55483,                0.78139,                  1.482,                0.98662,                0.80596,                0.80493,                 0.9047,                0.83443,                0.80596,                0.80493,                 0.9047,                0.83684,                0.41599,                0.59035,                 2.0254,                0.90344,               0.004456,               0.004456,               0.004456
                     58,                0.55403,                0.63923,                 1.5828,                0.93049,                0.80596,                0.80493,                 0.9047,                0.83443,                0.80596,                0.80493,                 0.9047,                0.83684,                0.41599,                0.59035,                 2.0254,                0.90344,               0.004357,               0.004357,               0.004357
                     59,                0.61071,                0.91058,                 1.4735,                 1.0002,                0.25264,                0.04167,                0.04314,                 0.0302,                0.25264,                0.04167,                0.04314,                0.03451,                0.48933,                0.70721,                 2.0949,                0.99063,               0.004258,               0.004258,               0.004258
                     60,                0.57887,                 0.7754,                 1.4564,                0.97631,                0.57767,                0.36859,                 0.4013,                0.36322,                0.57767,                0.36859,                 0.4013,                0.37239,                0.48933,                0.70721,                 2.0949,                0.99063,               0.004159,               0.004159,               0.004159
                     61,                 0.5546,                0.80832,                  1.475,                0.92242,                 0.8232,                0.84264,                0.92288,                0.84271,                 0.8232,                0.84264,                0.92288,                0.84324,                0.46893,                0.67416,                 1.9435,                 0.9443,                0.00406,                0.00406,                0.00406
                     62,                0.57502,                0.93655,                 1.5821,                0.98765,                 0.8232,                0.84264,                0.92288,                0.84271,                 0.8232,                0.84264,                0.92288,                0.84324,                0.46893,                0.67416,                 1.9435,                 0.9443,               0.003961,               0.003961,               0.003961
                     63,                0.56582,                0.85176,                 1.6131,                 1.0253,                0.90427,                0.66459,                0.90259,                0.83672,                0.90427,                0.66459,                0.90259,                0.83686,                0.39472,                0.69205,                 1.9522,                0.89151,               0.003862,               0.003862,               0.003862
                     64,                0.63472,                0.87625,                  1.461,                0.99927,                0.90427,                0.66459,                0.90259,                0.83672,                0.90427,                0.66459,                0.90259,                0.83686,                0.39472,                0.69205,                 1.9522,                0.89151,               0.003763,               0.003763,               0.003763
                     65,                0.55487,                0.92821,                 1.4631,                0.97058,                0.91662,                0.75778,                0.93413,                0.87455,                0.91662,                0.75778,                0.93413,                0.85315,                0.37826,                0.60113,                 1.9671,                0.89019,               0.003664,               0.003664,               0.003664
                     66,                 0.6503,                0.86123,                 1.5983,                 1.0394,                0.91662,                0.75778,                0.93413,                0.87455,                0.91662,                0.75778,                0.93413,                0.85315,                0.37826,                0.60113,                 1.9671,                0.89019,               0.003565,               0.003565,               0.003565
